latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
0.05836,29.59085,295.64,0.38,0.59,2023-07-12,3,N,VIIRS,n,2.0NRT,275.15,0.83,N
0.48765,31.5076,296.73,0.51,0.66,2023-07-12,3,N,VIIRS,n,2.0NRT,275.15,0.56,N
2.15227,13.94524,305.26,0.51,0.49,2023-07-12,3,N,VIIRS,n,2.0NRT,287.94,1.08,N
2.15681,13.94618,319.05,0.51,0.49,2023-07-12,3,N,VIIRS,n,2.0NRT,288.77,1.81,N
2.15754,13.94131,301.13,0.51,0.5,2023-07-12,3,N,VIIRS,n,2.0NRT,288.17,1.81,N
2.62829,16.06323,312.64,0.57,0.43,2023-07-12,3,N,VIIRS,n,2.0NRT,283.14,1.97,N
2.80413,18.02321,305.63,0.45,0.39,2023-07-12,3,N,VIIRS,n,2.0NRT,289.43,0.5,N
2.8077,18.02378,307.2,0.45,0.39,2023-07-12,3,N,VIIRS,n,2.0NRT,289.59,0.5,N
3.11528,14.96291,311.64,0.45,0.47,2023-07-12,3,N,VIIRS,n,2.0NRT,288.32,1.61,N
3.37078,17.17999,318.09,0.5,0.41,2023-07-12,3,N,VIIRS,n,2.0NRT,287.82,2.17,N
3.56934,13.40703,302.36,0.58,0.52,2023-07-12,3,N,VIIRS,n,2.0NRT,282.91,1.54,N
3.57418,13.40781,303.81,0.58,0.52,2023-07-12,3,N,VIIRS,n,2.0NRT,283.23,1.39,N
4.01366,7.49089,313.79,0.74,0.76,2023-07-12,3,N,VIIRS,n,2.0NRT,280.18,8.52,N
4.01461,7.48394,330.32,0.75,0.77,2023-07-12,3,N,VIIRS,n,2.0NRT,278.8,8.52,N
4.01796,7.49283,306.87,0.74,0.76,2023-07-12,3,N,VIIRS,n,2.0NRT,275.85,9.59,N
4.01896,7.48588,367,0.74,0.76,2023-07-12,3,N,VIIRS,h,2.0NRT,278.12,24.26,N
4.02078,7.49197,311.65,0.74,0.76,2023-07-12,3,N,VIIRS,n,2.0NRT,273.97,11.41,N
4.02174,7.48502,367,0.75,0.77,2023-07-12,3,N,VIIRS,h,2.0NRT,275.75,11.41,N
4.14553,7.9694,333.2,0.69,0.75,2023-07-12,3,N,VIIRS,n,2.0NRT,282.1,14.05,N
4.30681,7.65534,324.02,0.73,0.76,2023-07-12,3,N,VIIRS,n,2.0NRT,282.2,8.93,N
8.53433,16.79184,305.61,0.41,0.45,2023-07-12,3,N,VIIRS,n,2.0NRT,290.23,0.86,N
-6.81186,31.00125,300.06,0.6,0.71,2023-07-12,5,N,VIIRS,n,2.0NRT,287.31,0.71,N
-6.80639,30.99632,303.96,0.6,0.7,2023-07-12,5,N,VIIRS,n,2.0NRT,287.26,1.62,N
-6.80456,30.9965,302.3,0.6,0.7,2023-07-12,5,N,VIIRS,n,2.0NRT,287.31,1.04,N
-6.7453,30.69428,297.7,0.57,0.69,2023-07-12,5,N,VIIRS,n,2.0NRT,287.17,2.47,N
-6.74463,30.68914,331.76,0.57,0.69,2023-07-12,5,N,VIIRS,n,2.0NRT,287.58,2.47,N
-6.74436,30.68953,329.36,0.57,0.69,2023-07-12,5,N,VIIRS,n,2.0NRT,287.81,5.51,N
-6.66798,30.65666,300.4,0.57,0.69,2023-07-12,5,N,VIIRS,n,2.0NRT,287.24,1.28,N
-6.3607,27.54083,311.16,0.34,0.56,2023-07-12,5,N,VIIRS,n,2.0NRT,288.02,1.01,N
-6.28511,27.57042,297.54,0.34,0.56,2023-07-12,5,N,VIIRS,n,2.0NRT,275.34,0.76,N
-6.17848,28.24623,301.45,0.38,0.59,2023-07-12,5,N,VIIRS,n,2.0NRT,274.28,0.58,N
-6.17302,28.24696,303.55,0.38,0.59,2023-07-12,5,N,VIIRS,n,2.0NRT,272.96,6.6,N
-6.16807,28.25129,301.69,0.38,0.59,2023-07-12,5,N,VIIRS,n,2.0NRT,273.85,5.12,N
-6.16757,28.24775,367,0.38,0.59,2023-07-12,5,N,VIIRS,h,2.0NRT,281.81,6.6,N
-6.16707,28.24419,302.05,0.38,0.59,2023-07-12,5,N,VIIRS,n,2.0NRT,275.94,6.6,N
-6.12835,27.51971,301.94,0.34,0.56,2023-07-12,5,N,VIIRS,n,2.0NRT,285.83,0.8,N
-6.11414,27.5317,328.38,0.34,0.56,2023-07-12,5,N,VIIRS,n,2.0NRT,282.57,1.31,N
-6.1137,27.52855,299.25,0.34,0.56,2023-07-12,5,N,VIIRS,n,2.0NRT,281.94,1.31,N
-6.10853,27.52944,304.19,0.34,0.56,2023-07-12,5,N,VIIRS,n,2.0NRT,281.1,1.31,N
-6.10768,27.52324,298.61,0.34,0.56,2023-07-12,5,N,VIIRS,n,2.0NRT,281.56,1.33,N
-6.10307,28.96329,310.46,0.43,0.62,2023-07-12,5,N,VIIRS,n,2.0NRT,280.8,0.6,N
-6.03457,26.22818,299.67,0.55,0.51,2023-07-12,5,N,VIIRS,n,2.0NRT,280.29,1.22,N
-6.01439,26.63737,298.25,0.59,0.53,2023-07-12,5,N,VIIRS,n,2.0NRT,285.45,0.82,N
-6.00723,26.62191,299.96,0.59,0.53,2023-07-12,5,N,VIIRS,n,2.0NRT,287.39,1.2,N
-6.00236,26.62262,302.89,0.59,0.53,2023-07-12,5,N,VIIRS,n,2.0NRT,287.79,1.2,N
-5.94296,26.95777,296.52,0.62,0.54,2023-07-12,5,N,VIIRS,n,2.0NRT,284.39,0.25,N
-5.92204,27.75945,299.04,0.35,0.57,2023-07-12,5,N,VIIRS,n,2.0NRT,283.03,0.58,N
-5.92139,27.75983,306.13,0.35,0.57,2023-07-12,5,N,VIIRS,n,2.0NRT,282.75,0.56,N
-5.91681,27.76034,306.69,0.35,0.57,2023-07-12,5,N,VIIRS,n,2.0NRT,283.36,0.58,N
-5.91615,27.76073,300.5,0.35,0.57,2023-07-12,5,N,VIIRS,n,2.0NRT,282.87,0.56,N
-5.9159,27.75409,298.82,0.35,0.57,2023-07-12,5,N,VIIRS,n,2.0NRT,282.27,0.56,N
-5.91529,27.75447,300.08,0.35,0.57,2023-07-12,5,N,VIIRS,n,2.0NRT,282.36,0.61,N
-5.86514,23.89426,300.52,0.39,0.44,2023-07-12,5,N,VIIRS,n,2.0NRT,289.46,0.37,N
-5.77384,27.73602,298.5,0.35,0.57,2023-07-12,5,N,VIIRS,n,2.0NRT,275.3,0.29,N
-5.77276,27.76593,299.68,0.35,0.57,2023-07-12,5,N,VIIRS,n,2.0NRT,280.81,5.53,N
