latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-37.80685,175.44496,333.73,0.38,0.59,2026-05-15T00:00:00Z,1899-12-31T01:32:00Z,N,nominal,2.0NRT,288.16,1.85,D
-37.66233,175.97081,328.76,0.36,0.57,2026-05-15T00:00:00Z,1899-12-31T01:32:00Z,N,nominal,2.0NRT,285.78,1.86,D
-44.14572,171.33549,340.99,0.34,0.56,2026-03-16T00:00:00Z,1899-12-31T01:52:00Z,N,nominal,2.0NRT,284.22,15.72,D
-44.15236,171.33488,367,0.34,0.56,2026-03-16T00:00:00Z,1899-12-31T01:52:00Z,N,high,2.0NRT,299.34,17.9,D
-44.15121,171.33154,337.87,0.34,0.56,2026-03-16T00:00:00Z,1899-12-31T01:52:00Z,N,nominal,2.0NRT,288.09,15.54,D
-44.14685,171.33886999999999,337.28,0.34,0.56,2026-03-16T00:00:00Z,1899-12-31T01:52:00Z,N,nominal,2.0NRT,283.02,24.58,D
-44.14707,171.33449,356.35,0.34,0.56,2026-03-16T00:00:00Z,1899-12-31T01:52:00Z,N,low,2.0NRT,287.58,17.9,D
-44.1508,171.3403,329.64,0.34,0.56,2026-03-16T00:00:00Z,1899-12-31T01:52:00Z,N,nominal,2.0NRT,289.67,15.72,D
-43.34248,171.98473,338.96,0.62,0.54,2026-03-16T00:00:00Z,1899-12-31T01:52:00Z,N,nominal,2.0NRT,294.61,6.37,D
-44.15101,171.33591,367,0.34,0.56,2026-03-16T00:00:00Z,1899-12-31T01:52:00Z,N,high,2.0NRT,307.47,15.72,D
-40.11338,175.6277,330.56,0.57,0.43,2026-03-16T00:00:00Z,1899-12-31T01:54:00Z,N,nominal,2.0NRT,296.4,3.27,D
-40.10933,175.62708,332.65,0.57,0.43,2026-03-16T00:00:00Z,1899-12-31T01:54:00Z,N,nominal,2.0NRT,296.59,3.27,D
-40.00145,176.32362,333.03,0.53,0.42,2026-03-16T00:00:00Z,1899-12-31T01:54:00Z,N,nominal,2.0NRT,295.8,3.07,D
-39.20909,177.89182,326.72,0.45,0.39,2026-03-16T00:00:00Z,1899-12-31T01:54:00Z,N,nominal,2.0NRT,293.27,5.57,D
-39.43896,174.16475,353.08,0.44,0.46,2026-03-16T00:00:00Z,1899-12-31T01:54:00Z,N,nominal,2.0NRT,299.81,15.77,D
-39.43942,174.15953,340.09,0.44,0.46,2026-03-16T00:00:00Z,1899-12-31T01:54:00Z,N,nominal,2.0NRT,297.94,15.77,D
-38.45474,177.36472,334.11,0.46,0.39,2026-03-16T00:00:00Z,1899-12-31T01:54:00Z,N,nominal,2.0NRT,293.57,5.69,D
-38.45658,177.36372,330.87,0.46,0.39,2026-03-16T00:00:00Z,1899-12-31T01:54:00Z,N,nominal,2.0NRT,293.54,3.27,D
-37.90232,176.14653,332.64,0.51,0.41,2026-03-16T00:00:00Z,1899-12-31T01:54:00Z,N,nominal,2.0NRT,293.83,5.66,D
-45.78904,168.49992,339.22,0.49,0.49,2026-03-16T00:00:00Z,1899-12-31T03:32:00Z,N,nominal,2.0NRT,293.27,9.02,D
-46.15709,167.99167,333.32,0.46,0.47,2026-03-16T00:00:00Z,1899-12-31T03:32:00Z,N,nominal,2.0NRT,287.43,3.75,D
-46.126220000000004,167.94379,329.25,0.45,0.47,2026-03-16T00:00:00Z,1899-12-31T03:32:00Z,N,nominal,2.0NRT,283.79,3.33,D
-42.90035,172.6055,331.05,0.45,0.63,2026-03-16T00:00:00Z,1899-12-31T03:34:00Z,N,nominal,2.0NRT,295.86,3.47,D
-29.83711,148.85651,356.53,0.51,0.41,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,304.18,9.83,D
-29.83838,148.84576,337.99,0.51,0.41,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,293.57,64.22,D
-29.83774,148.85114,367,0.51,0.41,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,low,2.0NRT,329.92,64.22,D
-29.8339,148.85054,367,0.51,0.41,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,high,2.0NRT,301.2,64.22,D
-29.83327,148.85591,343.99,0.51,0.41,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,296.68,9.83,D
-29.83454,148.84517,335.8,0.51,0.41,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,290.05,64.22,D
-29.83007,148.84995,337.75,0.51,0.41,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,288.54,4.06,D
-29.8307,148.84457,334.57,0.51,0.41,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,286.61,4.06,D
-29.70398,148.57201,339.93,0.53,0.42,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,304.6,8.06,D
-29.43972,150.38838,367,0.44,0.38,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,high,2.0NRT,322.44,9.25,D
-29.43913,150.39294,347.26,0.44,0.38,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,318.58,7.08,D
-29.44032,150.38383,344.04,0.44,0.38,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,314.67,9.25,D
-29.43557,150.3923,341.3,0.44,0.38,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,312.85,7.08,D
-29.43617,150.38776,355.62,0.44,0.38,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,317.05,9.25,D
-29.43676,150.38321,348.24,0.44,0.38,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,318.82,9.25,D
-29.35159,149.20757,337.96,0.49,0.4,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,low,2.0NRT,311.55,2.71,D
-29.30147,149.23834,350.64,0.48,0.4,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,316.87,16.73,D
-29.06302,149.093,367,0.49,0.4,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,high,2.0NRT,312.9,6.41,D
-29.06364,149.08791,339.6,0.49,0.4,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,313.81,6.41,D
-28.60087,152.13274,336.72,0.39,0.36,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,302.29,7.02,D
-28.59752,152.13205,351.26,0.39,0.36,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,303.53,7.02,D
-28.34315,152.63168,344.71,0.39,0.36,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,303.83,5.96,D
-28.58998,150.11859,367,0.44,0.38,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,high,2.0NRT,316.96,19.49,D
-28.58642,150.118,337.09,0.44,0.38,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,310.7,1.33,D
-28.28126,152.20528,336.93,0.39,0.36,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,low,2.0NRT,310.78,9.25,D
-28.23144,150.17303,336.89,0.43,0.38,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,low,2.0NRT,310.1,1.87,D
-28.23265,150.17519,343.93,0.43,0.38,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,312.78,4.41,D
-28.22911,150.17459,343.32,0.43,0.38,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,311.08,3.44,D
-27.75727,150.92606,346.06,0.41,0.37,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,306.43,3.32,D
-27.90136,148.73961,351.77,0.49,0.41,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,312.19,10.82,D
-27.34883,152.3338,330.69,0.39,0.36,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,296.79,1.99,D
-27.24529,151.83049,339.65,0.39,0.36,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,300.84,2.76,D
-27.4109,150.20412,336.58,0.43,0.38,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,305.57,2.99,D
-27.11867,150.76913,336.11,0.41,0.37,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,303.38,1.93,D
-27.11523,150.76854,344.33,0.41,0.37,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,304.54,4.64,D
-27.1118,150.76793,334.35,0.41,0.37,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,304.18,4.64,D
-27.11237,150.76378,347.38,0.41,0.37,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,303.76,4.64,D
-26.80591,150.49091,337.81,0.41,0.37,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,301.41,2.67,D
-29.34785,149.20695,337.46,0.49,0.4,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,low,2.0NRT,311.42,2.71,D
-33.18402,146.33301,331.28,0.51,0.49,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,272.09,4.1,D
-32.09684,146.96153,342.38,0.46,0.47,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,305.34,4.01,D
-32.09732,146.95662,341.4,0.46,0.47,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,302.29,4.01,D
-32.09245,146.96091,343.45,0.46,0.47,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,307.24,30.58,D
-32.09293,146.95599,338.14,0.46,0.47,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,308.32,30.58,D
