latitude,longitude,frp,acq_date,confidence,source_region
-6.14236,11.03066,1.81,2026-05-15,nominal,Southern_Africa
-5.65671,11.81147,5.5,2026-05-15,nominal,Southern_Africa
-6.11663,12.33371,0.79,2026-05-15,nominal,Southern_Africa
-6.11726,12.33793,0.79,2026-05-15,nominal,Southern_Africa
-6.1209,12.33737,0.79,2026-05-15,nominal,Southern_Africa
-6.12153,12.34159,1.25,2026-05-15,nominal,Southern_Africa
-6.16396,12.32644,1.66,2026-05-15,nominal,Southern_Africa
-6.1646,12.33065,1.66,2026-05-15,nominal,Southern_Africa
-6.21207,12.39685,0.71,2026-05-15,nominal,Southern_Africa
-6.21573,12.39628,0.72,2026-05-15,nominal,Southern_Africa
-6.06905,11.35811,3.41,2026-05-15,nominal,Southern_Africa
-6.07254,11.35758,3.41,2026-05-15,nominal,Southern_Africa
-6.07052,11.35875,6.83,2026-05-15,nominal,Southern_Africa
-6.13892,11.03119,1.73,2026-05-15,nominal,Southern_Africa
-5.11447,20.87214,3.71,2026-05-15,nominal,Southern_Africa
-5.11514,20.87673,1.96,2026-05-15,nominal,Southern_Africa
-5.11243,20.87616,2.09,2026-05-15,nominal,Southern_Africa
-5.11181,20.87164,2.09,2026-05-15,nominal,Southern_Africa
-4.53223,15.19537,0.38,2026-05-15,nominal,Southern_Africa
-4.24616,10.81835,1.36,2026-05-15,nominal,Southern_Africa
-4.41686,11.03539,0.77,2026-05-15,nominal,Southern_Africa
-4.51696,11.52225,1.53,2026-05-15,nominal,Southern_Africa
-4.51754,11.52601,1.64,2026-05-15,nominal,Southern_Africa
-4.5185,11.41856,0.53,2026-05-15,nominal,Southern_Africa
-4.52194,11.41803,5.22,2026-05-15,nominal,Southern_Africa
-4.8535,12.01985,0.92,2026-05-15,nominal,Southern_Africa
-4.85643,12.01539,1.01,2026-05-15,nominal,Southern_Africa
-4.85704,12.01929,0.92,2026-05-15,nominal,Southern_Africa
-4.85765,12.02323,0.92,2026-05-15,nominal,Southern_Africa
-4.85827,12.0272,1.16,2026-05-15,nominal,Southern_Africa
-4.86057,12.01874,2.47,2026-05-15,nominal,Southern_Africa
-4.85996,12.01483,1.25,2026-05-15,nominal,Southern_Africa
-4.86119,12.02267,2.47,2026-05-15,nominal,Southern_Africa
-4.86181,12.02663,1.0,2026-05-15,nominal,Southern_Africa
-4.8635,12.01429,1.25,2026-05-15,nominal,Southern_Africa
-4.86411,12.01819,2.47,2026-05-15,nominal,Southern_Africa
-4.86472,12.02212,2.47,2026-05-15,nominal,Southern_Africa
-4.86534,12.02608,1.0,2026-05-15,nominal,Southern_Africa
-4.86764,12.01764,0.78,2026-05-15,nominal,Southern_Africa
-4.86826,12.02157,0.78,2026-05-15,nominal,Southern_Africa
-4.93266,12.08938,0.55,2026-05-15,nominal,Southern_Africa
-4.93328,12.09338,0.55,2026-05-15,nominal,Southern_Africa
-4.93622,12.08883,0.65,2026-05-15,nominal,Southern_Africa
-4.93683,12.09284,0.65,2026-05-15,nominal,Southern_Africa
-5.20337,11.69787,0.89,2026-05-15,nominal,Southern_Africa
-5.20396,11.70173,0.89,2026-05-15,nominal,Southern_Africa
-5.27344,11.56577,1.04,2026-05-15,nominal,Southern_Africa
-5.48871,11.51407,0.49,2026-05-15,nominal,Southern_Africa
-5.6561,11.80753,5.5,2026-05-15,nominal,Southern_Africa
-15.19748,16.14655,0.72,2026-05-15,nominal,Southern_Africa
-19.42638,15.34417,1.68,2026-05-15,nominal,Southern_Africa
-19.43165,15.34326,0.94,2026-05-15,nominal,Southern_Africa
-19.43201,15.34664,0.94,2026-05-15,nominal,Southern_Africa
-19.44145,15.38416,0.78,2026-05-15,nominal,Southern_Africa
-19.44184,15.38769,0.78,2026-05-15,nominal,Southern_Africa
-19.47401,15.38658,0.83,2026-05-15,nominal,Southern_Africa
-19.47263,15.38743,0.64,2026-05-15,nominal,Southern_Africa
-19.47686,15.37631,0.85,2026-05-15,nominal,Southern_Africa
-19.41606,14.56138,0.24,2026-05-15,nominal,Southern_Africa
-20.26561,17.87761,0.29,2026-05-15,nominal,Southern_Africa
-20.20087,16.05392,0.26,2026-05-15,nominal,Southern_Africa
-32.93919,18.75752,1.34,2026-05-15,nominal,Southern_Africa
50.14864,39.68391,0.57,2026-05-15,nominal,Russia_Asia
50.61266,36.60328,0.28,2026-05-15,nominal,Russia_Asia
50.54381,26.26022,1.03,2026-05-15,nominal,Russia_Asia
48.79394,44.82612,1.38,2026-05-15,nominal,Russia_Asia
48.79036,44.82811,1.79,2026-05-15,nominal,Russia_Asia
53.46151,41.65524,0.82,2026-05-15,nominal,Russia_Asia
53.21401,46.55542,0.38,2026-05-15,nominal,Russia_Asia
52.28077,50.87254,1.25,2026-05-15,nominal,Russia_Asia
56.09418,44.17908,0.68,2026-05-15,nominal,Russia_Asia
59.12971,37.78859,0.89,2026-05-15,nominal,Russia_Asia
59.1332,37.79166,0.89,2026-05-15,nominal,Russia_Asia
59.133,37.79012,2.36,2026-05-15,nominal,Russia_Asia
59.14434,37.84954,1.67,2026-05-15,nominal,Russia_Asia
59.14818,37.8331,0.87,2026-05-15,nominal,Russia_Asia
59.14782,37.85263,0.81,2026-05-15,nominal,Russia_Asia
59.14938,37.86394,3.68,2026-05-15,nominal,Russia_Asia
59.14746,37.87218,3.68,2026-05-15,nominal,Russia_Asia
61.06366,28.2402,0.51,2026-05-15,nominal,Russia_Asia
51.10934,40.65645,0.56,2026-05-15,nominal,Russia_Asia
47.87412,33.43747,2.29,2026-05-15,nominal,Russia_Asia
47.86842,33.44115,2.29,2026-05-15,nominal,Russia_Asia
47.8692,33.44178,3.66,2026-05-15,nominal,Russia_Asia
47.8797,33.39948,1.11,2026-05-15,nominal,Russia_Asia
48.74794,26.60649,0.51,2026-05-15,nominal,Russia_Asia
47.17356,31.75584,0.78,2026-05-15,nominal,Russia_Asia
47.78969,28.95208,1.06,2026-05-15,nominal,Russia_Asia
46.67686,32.67202,0.84,2026-05-15,nominal,Russia_Asia
46.54644,32.56878,1.08,2026-05-15,nominal,Russia_Asia
45.37441,30.92897,1.93,2026-05-15,nominal,Russia_Asia
45.35798,30.90357,1.17,2026-05-15,nominal,Russia_Asia
