date,fire_count,avg_frp
2026-03-16,482,10
2026-03-17,584,7.86
2026-03-18,889,14.24
2026-03-19,513,11.41
2026-03-20,679,10.64
2026-03-21,740,18.79
2026-03-22,485,8.71
2026-03-23,1079,10.22
2026-03-24,698,10.89
2026-03-25,597,8.73
2026-03-26,445,8.69
2026-03-27,408,4.77
2026-03-28,870,5.2
2026-03-29,1063,11.01
2026-03-30,2459,14.33
2026-03-31,2711,11.97
2026-04-01,3124,9.75
2026-04-02,2701,12.77
2026-04-03,1318,8.91
2026-04-04,1309,7.44
2026-04-05,1553,10.29
2026-04-06,1186,9.89
2026-04-07,2132,9.83
2026-04-08,2789,14.35
2026-04-09,2192,12.16
2026-04-10,2952,6.99
2026-04-11,2460,7.8
2026-04-12,3287,7.27
2026-04-13,4725,9.01
2026-04-14,6671,9.09
2026-04-15,8064,8.99
2026-04-16,5724,8.36
2026-04-17,4925,8.52
2026-04-18,1605,12.83
2026-04-19,1234,11.03
2026-04-20,2153,11.12
2026-04-21,3351,11.98
2026-04-22,3725,9.66
2026-04-23,3732,11.18
2026-04-24,5306,9.9
2026-04-25,4379,9.63
2026-04-26,3083,7.62
2026-04-27,3504,9.89
2026-04-30,1420,1.99
2026-05-01,4256,8.7
2026-05-02,1784,7.12
2026-05-03,2954,7.83
2026-05-04,4784,7.82
2026-05-05,5870,7.95
2026-05-06,5836,10.97
2026-05-07,8154,7.81
2026-05-08,7624,9.13
2026-05-09,7290,8.34
2026-05-10,5918,7.01
2026-05-11,4942,7.74
2026-05-12,3251,9.32
2026-05-13,3667,8.07
2026-05-14,3595,8.8
2026-05-15,148,23.72
