date,fire_count
2026-03-16,482
2026-03-17,584
2026-03-18,889
2026-03-19,513
2026-03-20,679
2026-03-21,740
2026-03-22,485
2026-03-23,1079
2026-03-24,698
2026-03-25,597
2026-03-26,445
2026-03-27,408
2026-03-28,870
2026-03-29,1063
2026-03-30,2459
2026-03-31,2711
2026-04-01,3124
2026-04-02,2701
2026-04-03,1318
2026-04-04,1309
2026-04-05,1553
2026-04-06,1186
2026-04-07,2132
2026-04-08,2789
2026-04-09,2192
2026-04-10,2952
2026-04-11,2460
2026-04-12,3287
2026-04-13,4725
2026-04-14,6671
2026-04-15,8064
2026-04-16,5724
2026-04-17,4925
2026-04-18,1605
2026-04-19,1234
2026-04-20,2153
2026-04-21,3351
2026-04-22,3725
2026-04-23,3732
2026-04-24,5306
2026-04-25,4379
2026-04-26,3083
2026-04-27,3504
2026-04-30,1420
2026-05-01,4256
2026-05-02,1784
2026-05-03,2954
2026-05-04,4784
2026-05-05,5870
2026-05-06,5836
2026-05-07,8154
2026-05-08,7624
2026-05-09,7290
2026-05-10,5918
2026-05-11,4942
2026-05-12,3251
2026-05-13,3667
2026-05-14,3595
2026-05-15,148
