STATE_NAME,month,fire_count
Australian Capital Territory,April,17
Australian Capital Territory,March,2
New South Wales,April,11824
New South Wales,March,2121
New South Wales,May,4350
Northern Territory,April,13640
Northern Territory,March,1046
Northern Territory,May,28119
Queensland,April,5541
Queensland,March,2376
Queensland,May,3266
South Australia,April,714
South Australia,March,359
South Australia,May,487
Tasmania,April,1170
Tasmania,March,264
Tasmania,May,666
Victoria,April,5248
Victoria,March,1672
Victoria,May,1618
Western Australia,April,51788
Western Australia,March,6353
Western Australia,May,30286
