year,state,rainfall_mm,fire_count,avg_frp
2014,NT,664.0,474892,11.4
2014,WA,400.9,329804,12.5
2014,QLD,559.1,275291,8.4
2014,VIC,546.7,73646,14.6
2014,NSW,468.3,54191,7.4
2014,SA,197.0,28259,15.8
2015,NT,599.6,548756,11.1
2015,WA,352.7,296838,12.8
2015,QLD,492.4,213213,8.0
2015,VIC,499.4,47527,12.0
2015,NSW,541.7,46634,7.3
2015,SA,191.6,16981,14.2
2016,NT,587.0,243294,9.6
2016,WA,411.1,181151,11.6
2016,QLD,626.1,227366,8.4
2016,VIC,778.2,44392,11.8
2016,NSW,663.0,55045,7.2
2016,SA,355.6,10947,8.5
2017,NT,630.6,476915,12.2
2017,WA,472.6,385795,14.6
2017,QLD,550.1,212311,8.5
2017,VIC,615.4,63414,13.2
2017,NSW,456.4,71936,6.9
2017,SA,232.5,25381,13.8
2018,NT,485.3,502936,10.4
2018,WA,370.8,468773,14.5
2018,QLD,522.4,318616,9.1
2018,VIC,485.6,56201,11.1
2018,NSW,331.7,75749,8.4
2018,SA,166.4,51017,14.8
2019,NT,265.4,364522,10.1
2019,WA,177.5,359933,15.8
2019,QLD,483.9,251939,8.7
2019,VIC,467.4,247904,12.1
2019,NSW,251.5,291995,10.6
2019,SA,82.3,63134,18.8
2020,NT,611.9,204912,8.7
2020,WA,373.9,156423,13.0
2020,QLD,578.3,244916,8.2
2020,VIC,670.3,173417,16.3
2020,NSW,639.2,51925,6.9
2020,SA,223.1,18286,24.4
2021,NT,564.5,328038,9.6
2021,WA,366.8,195153,11.3
2021,QLD,675.1,193755,8.2
2021,VIC,698.1,50394,14.0
2021,NSW,721.2,36856,6.5
2021,SA,219.2,10626,11.1
2022,NT,616.6,362506,9.8
2022,WA,418.1,214210,11.3
2022,QLD,780.0,150886,7.9
2022,VIC,872.0,34253,14.5
2022,NSW,863.3,22070,8.5
2022,SA,312.1,10311,10.9
2023,NT,623.4,838910,12.5
2023,WA,330.4,448822,13.2
2023,QLD,694.8,389270,8.4
2023,VIC,629.4,53905,12.6
2023,NSW,432.4,91917,10.7
2023,SA,196.1,33874,14.1
2024,NT,903.7,395250,10.9
2024,WA,473.7,162523,11.2
2024,QLD,770.4,308373,9.5
2024,VIC,528.3,51777,14.8
2024,NSW,582.6,47960,7.1
2024,SA,217.5,8684,14.2
