year,state,rainfall_mm
2014,NSW,468.3
2015,NSW,541.7
2016,NSW,663.0
2017,NSW,456.4
2018,NSW,331.7
2019,NSW,251.5
2020,NSW,639.2
2021,NSW,721.2
2022,NSW,863.3
2023,NSW,432.4
2024,NSW,582.6
2014,VIC,546.7
2015,VIC,499.4
2016,VIC,778.2
2017,VIC,615.4
2018,VIC,485.6
2019,VIC,467.4
2020,VIC,670.3
2021,VIC,698.1
2022,VIC,872.0
2023,VIC,629.4
2024,VIC,528.3
2014,QLD,559.1
2015,QLD,492.4
2016,QLD,626.1
2017,QLD,550.1
2018,QLD,522.4
2019,QLD,483.9
2020,QLD,578.3
2021,QLD,675.1
2022,QLD,780.0
2023,QLD,694.8
2024,QLD,770.4
2014,WA,400.9
2015,WA,352.7
2016,WA,411.1
2017,WA,472.6
2018,WA,370.8
2019,WA,177.5
2020,WA,373.9
2021,WA,366.8
2022,WA,418.1
2023,WA,330.4
2024,WA,473.7
2014,SA,197.0
2015,SA,191.6
2016,SA,355.6
2017,SA,232.5
2018,SA,166.4
2019,SA,82.3
2020,SA,223.1
2021,SA,219.2
2022,SA,312.1
2023,SA,196.1
2024,SA,217.5
2014,NT,664.0
2015,NT,599.6
2016,NT,587.0
2017,NT,630.6
2018,NT,485.3
2019,NT,265.4
2020,NT,611.9
2021,NT,564.5
2022,NT,616.6
2023,NT,623.4
2024,NT,903.7
