year,STATE_NAME,total_fire,avg_frp,grid_cells
2014,NT,474892,11.36,42
2014,WA,329804,12.46,71
2014,QLD,275291,8.41,43
2014,VIC,73646,14.55,20
2014,NSW,54191,7.41,21
2014,ACT,29286,11.14,0
2014,SA,28259,15.82,26
2014,TAS,7056,15.13,11
,,,,
2015,NT,548756,11.14,42
2015,WA,296838,12.85,74
2015,QLD,213213,8.04,42
2015,VIC,47527,12,20
2015,NSW,46634,7.28,21
2015,ACT,27812,10.97,0
2015,SA,16981,14.17,23
2015,TAS,6227,11.77,11
,,,,
2016,NT,243294,9.55,41
2016,WA,181151,11.63,76
2016,QLD,227366,8.45,42
2016,VIC,44392,11.77,20
2016,NSW,55045,7.18,21
2016,ACT,18302,9.76,0
2016,SA,10947,8.48,23
2016,TAS,13557,12.14,11
,,,,
2017,NT,476915,12.23,42
2017,WA,385795,14.64,77
2017,QLD,212311,8.48,42
2017,VIC,63414,13.23,20
2017,NSW,71936,6.94,21
2017,ACT,29403,12.18,0
2017,SA,25381,13.81,24
2017,TAS,6254,11.95,11
,,,,
2018,NT,502936,10.41,41
2018,WA,468773,14.5,74
2018,QLD,318616,9.07,42
2018,VIC,56201,11.14,20
2018,NSW,75749,8.36,21
2018,ACT,34849,11.54,0
2018,SA,51017,14.82,25
2018,TAS,6048,12.43,11
,,,,
2019,NT,364522,10.1,42
2019,WA,359933,15.78,78
2019,QLD,251939,8.73,42
2019,VIC,247904,12.1,20
2019,NSW,291995,10.6,21
2019,ACT,37073,11.98,0
2019,SA,63134,18.83,22
2019,TAS,17539,17,11
,,,,
2020,NT,204912,8.71,42
2020,WA,156423,12.98,77
2020,QLD,244916,8.16,42
2020,VIC,173417,16.28,20
2020,NSW,51925,6.92,21
2020,ACT,19889,11.04,0
2020,SA,18286,24.44,22
2020,TAS,5825,14.03,11
,,,,
2021,NT,328038,9.59,42
2021,WA,195153,11.3,74
2021,QLD,193755,8.24,43
2021,VIC,50394,14.03,20
2021,NSW,36856,6.46,21
2021,ACT,19321,9.88,0
2021,SA,10626,11.14,19
2021,TAS,4462,14.21,10
,,,,
2022,NT,362506,9.82,42
2022,WA,214210,11.32,75
2022,QLD,150886,7.92,40
2022,VIC,34253,14.5,20
2022,NSW,22070,8.53,19
2022,ACT,18916,10.06,0
2022,SA,10311,10.94,23
2022,TAS,4288,8.93,11
,,,,
2023,NT,838910,12.48,42
2023,WA,448822,13.21,75
2023,QLD,389270,8.4,42
2023,VIC,53905,12.63,20
2023,NSW,91917,10.67,21
2023,ACT,43875,11.78,0
2023,SA,33874,14.07,25
2023,TAS,4690,15.28,11
,,,,
2024,NT,395250,10.93,42
2024,WA,162523,11.21,73
2024,QLD,308373,9.46,43
2024,VIC,51777,14.84,20
2024,NSW,47960,7.09,20
2024,ACT,23009,10.58,0
2024,SA,8684,14.23,24
2024,TAS,5990,13.13,11
