year,region,fire_count,total,percentage
2014,New South Wales,62943,911270,6.91
2014,Northern Territory,435069,911270,47.74
2014,Queensland,274760,911270,30.15
2014,South Australia,26503,911270,2.91
2014,Victoria,59874,911270,6.57
2014,Western Australia,52121,911270,5.72
2015,New South Wales,53726,899224,5.97
2015,Northern Territory,482525,899224,53.66
2015,Queensland,212025,899224,23.58
2015,South Australia,32199,899224,3.58
2015,Victoria,42634,899224,4.74
2015,Western Australia,76115,899224,8.46
2016,New South Wales,66765,610222,10.94
2016,Northern Territory,210768,610222,34.54
2016,Queensland,226608,610222,37.14
2016,South Australia,17064,610222,2.8
2016,Victoria,45475,610222,7.45
2016,Western Australia,43542,610222,7.14
2017,New South Wales,88585,856236,10.35
2017,Northern Territory,384540,856236,44.91
2017,Queensland,210886,856236,24.63
2017,South Australia,57624,856236,6.73
2017,Victoria,45791,856236,5.35
2017,Western Australia,68810,856236,8.04
2018,New South Wales,90136,1007940,8.94
2018,Northern Territory,432502,1007940,42.91
2018,Queensland,318013,1007940,31.55
2018,South Australia,69115,1007940,6.86
2018,Victoria,41818,1007940,4.15
2018,Western Australia,56356,1007940,5.59
2019,New South Wales,400856,1399906,28.63
2019,Northern Territory,337637,1399906,24.12
2019,Queensland,255089,1399906,18.22
2019,South Australia,186018,1399906,13.29
2019,Victoria,154399,1399906,11.03
2019,Western Australia,65907,1399906,4.71
2020,New South Wales,62927,745284,8.44
2020,Northern Territory,191543,745284,25.7
2020,Queensland,247686,745284,33.23
2020,South Australia,45592,745284,6.12
2020,Victoria,163096,745284,21.88
2020,Western Australia,34440,745284,4.62
2021,New South Wales,51707,614086,8.42
2021,Northern Territory,291042,614086,47.39
2021,Queensland,193187,614086,31.46
2021,South Australia,11793,614086,1.92
2021,Victoria,34723,614086,5.65
2021,Western Australia,31634,614086,5.15
2022,New South Wales,28718,580322,4.95
2022,Northern Territory,310325,580322,53.47
2022,Queensland,149785,580322,25.81
2022,South Australia,9719,580322,1.67
2022,Victoria,28463,580322,4.9
2022,Western Australia,53312,580322,9.19
2023,New South Wales,108581,1360381,7.98
2023,Northern Territory,744798,1360381,54.75
2023,Queensland,388311,1360381,28.54
2023,South Australia,22865,1360381,1.68
2023,Victoria,36381,1360381,2.67
2023,Western Australia,59445,1360381,4.37
2024,New South Wales,54769,808424,6.77
2024,Northern Territory,356267,808424,44.07
2024,Queensland,308962,808424,38.22
2024,South Australia,8457,808424,1.05
2024,Victoria,45727,808424,5.66
2024,Western Australia,34242,808424,4.24
