id,country,iso_a3,total_fire_count,avg_frp
36,Australia,AUS,33085,8.904466072238169
356,India,IND,29668,5.741053660509639
180,Dem. Rep. Congo,COD,25802,7.754825982481977
643,Russia,RUS,23028,9.760719124544035
484,Mexico,MEX,18632,9.456290253327603
450,Madagascar,MDG,14014,6.346400028542889
156,China,CHN,12152,3.9461298551678734
840,United States of America,USA,9820,6.928027494908349
324,Guinea,GIN,7528,21.384145855472898
862,Venezuela,VEN,7331,7.228580002728141
340,Honduras,HND,6400,6.702024999999999
76,Brazil,BRA,5962,7.927254277088225
364,Iran,IRN,5414,5.609432951606945
558,Nicaragua,NIC,4756,6.307548359966359
586,Pakistan,PAK,4150,4.447766265060241
24,Angola,AGO,3474,6.752976396085204
430,Liberia,LBR,2853,9.92429372590256
710,South Africa,ZAF,2706,6.102402069475242
894,Zambia,ZMB,2382,6.889785894206549
728,S. Sudan,SSD,2378,9.37215306980656
566,Nigeria,NGA,2335,8.507524625267667
320,Guatemala,GTM,2272,9.103644366197182
804,Ukraine,UKR,2252,10.28854351687389
368,Iraq,IRQ,2234,5.74202327663384
694,Sierra Leone,SLE,2079,10.167772967772965
608,Philippines,PHL,2054,6.457867575462512
729,Sudan,SDN,2044,8.224818982387475
508,Mozambique,MOZ,1989,5.688999497234793
496,Mongolia,MNG,1773,32.50166384658771
434,Libya,LBY,1769,4.723572639909554
32,Argentina,ARG,1763,5.9341293250141804
12,Algeria,DZA,1735,2.7397463976945247
704,Vietnam,VNM,1631,5.866738197424892
466,Mali,MLI,1566,9.768512132822478
398,Kazakhstan,KAZ,1298,5.863351309707242
148,Chad,TCD,1276,8.806559561128527
178,Congo,COG,1274,6.22958398744113
682,Saudi Arabia,SAU,1189,4.953675357443229
104,Myanmar,MMR,1165,9.354909871244633
418,Laos,LAO,1094,14.589478976234
231,Ethiopia,ETH,986,7.858600405679512
360,Indonesia,IDN,986,4.68525354969574
170,Colombia,COL,943,6.263319194061506
764,Thailand,THA,916,5.0952838427947595
384,Côte d'Ivoire,CIV,901,5.675449500554939
124,Canada,CAN,895,13.57584357541899
624,Guinea-Bissau,GNB,869,15.175097813578828
152,Chile,CHL,865,10.126254335260116
795,Turkmenistan,TKM,861,1.4652729384436702
818,Egypt,EGY,857,5.788658109684946
116,Cambodia,KHM,801,5.901485642946318
120,Cameroon,CMR,793,10.158310214375788
716,Zimbabwe,ZWE,783,8.219323116219668
686,Senegal,SEN,770,7.758571428571428
784,United Arab Emirates,ARE,766,15.02
68,Bolivia,BOL,705,5.188510638297872
392,Japan,JPN,692,2.654248554913295
600,Paraguay,PRY,660,6.09419696969697
834,Tanzania,TZA,656,6.3187652439024395
512,Oman,OMN,626,3.0030191693290735
84,Belize,BLZ,595,8.188521008403361
598,Papua New Guinea,PNG,573,5.574101221640489
792,Turkey,TUR,468,1.539017094017094
276,Germany,DEU,441,2.7165079365079365
140,Central African Rep.,CAF,427,6.213934426229509
562,Niger,NER,416,11.158629807692309
854,Burkina Faso,BFA,390,7.8192051282051285
288,Ghana,GHA,388,6.3675
860,Uzbekistan,UZB,313,4.443865814696486
604,Peru,PER,303,5.957524752475248
454,Malawi,MWI,251,4.75402390438247
188,Costa Rica,CRI,231,5.686017316017316
214,Dominican Rep.,DOM,230,5.085869565217391
380,Italy,ITA,230,2.5041304347826085
192,Cuba,CUB,216,6.563240740740741
410,South Korea,KOR,211,2.295071090047393
270,Gambia,GMB,208,9.841490384615385
266,Gabon,GAB,201,4.174278606965174
204,Benin,BEN,175,6.386571428571429
554,New Zealand,NZL,175,5.223885714285714
760,Syria,SYR,160,1.7311875
516,Namibia,NAM,153,5.8732026143790845
222,El Salvador,SLV,143,5.473776223776223
458,Malaysia,MYS,142,3.7171126760563378
591,Panama,PAN,140,5.568642857142857
616,Poland,POL,135,1.8937777777777778
218,Ecuador,ECU,133,6.404360902255639
414,Kuwait,KWT,130,4.968692307692308
887,Yemen,YEM,119,2.815294117647059
528,Netherlands,NLD,100,3.1494
724,Spain,ESP,86,2.561279069767442
634,Qatar,QAT,85,2.0063529411764707
112,Belarus,BLR,83,3.8692771084337347
780,Trinidad and Tobago,TTO,83,4.062048192771084
826,United Kingdom,GBR,81,4.061234567901235
56,Belgium,BEL,77,3.345064935064935
40,Austria,AUT,75,4.8449333333333335
478,Mauritania,MRT,72,15.616944444444444
524,Nepal,NPL,70,4.6375714285714285
50,Bangladesh,BGD,64,4.1575
752,Sweden,SWE,62,3.0598387096774196
504,Morocco,MAR,57,1.8364912280701755
72,Botswana,BWA,48,5.900416666666667
800,Uganda,UGA,48,8.173125
332,Haiti,HTI,46,4.577173913043478
31,Azerbaijan,AZE,45,1.1884444444444444
642,Romania,ROU,45,2.516
246,Finland,FIN,42,2.4445238095238095
408,North Korea,PRK,40,2.309
703,Slovakia,SVK,39,3.072820512820513
858,Uruguay,URY,39,4.362051282051282
404,Kenya,KEN,37,5.00054054054054
768,Togo,TGO,37,4.670810810810811
620,Portugal,PRT,36,4.643888888888889
688,Serbia,SRB,35,2.898285714285714
300,Greece,GRC,33,1.2245454545454546
376,Israel,ISR,33,3.4496969696969693
100,Bulgaria,BGR,32,2.175625
548,Vanuatu,VUT,32,4.216875
328,Guyana,GUY,28,4.8375
762,Tajikistan,TJK,27,1.8725925925925926
400,Jordan,JOR,26,1.9357692307692307
203,Czechia,CZE,25,2.6232
232,Eritrea,ERI,25,17.9872
417,Kyrgyzstan,KGZ,25,1.964
52,Barbados,BRB,24,8.1779166666666665
788,Tunisia,TUN,23,1.2534782608695652
208,Denmark,DNK,22,1.7231818181818181
498,Moldova,MDA,21,2.020952380952381
275,Palestine,PSE,21,4.538571428571428
158,Taiwan,TWN,21,2.7985714285714285
372,Ireland,IRL,20,2.4125
756,Switzerland,CHE,17,1.9229411764705882
268,Georgia,GEO,15,1.0866666666666667
4,Afghanistan,AFG,14,6.295714285714286
348,Hungary,HUN,12,2.1550000000000002
191,Croatia,HRV,10,1.33
388,Jamaica,JAM,10,2.794
748,eSwatini,SWZ,10,3.91
705,Slovenia,SVN,8,1.14625
540,New Caledonia,NCL,7,3.442857142857143
10,Antarctica,ATA,6,3.7750000000000004
48,Bahrain,BHR,6,3.3183333333333334
334,Heard I. and McDonald Is.,HMD,6,2.185
442,Luxembourg,LUX,6,1.0066666666666666
90,Solomon Is.,SLB,6,2.8033333333333332
670,St. Vin. and Gren.,VCT,6,3.485
440,Lithuania,LTU,5,0.782
807,North Macedonia,MKD,5,2.12
144,Sri Lanka,LKA,5,3.09
8,Albania,ALB,4,2.895
96,Brunei,BRN,4,2.5774999999999997
108,Burundi,BDI,4,4.8075
262,Djibouti,DJI,4,9.197500000000002
480,Mauritius,MUS,4,3.9825
51,Armenia,ARM,3,2.9333333333333336
70,Bosnia and Herz.,BIH,3,2.8266666666666667
196,Cyprus,CYP,3,0.65
308,Grenada,GRD,3,1.4933333333333334
428,Latvia,LVA,3,5.5
662,Saint Lucia,LCA,3,4.34
706,Somalia,SOM,3,2.85
776,Tonga,TON,3,4.96
44,Bahamas,BHS,2,3.62
242,Fiji,FJI,2,4.89
258,Fr. Polynesia,PYF,2,17.04
630,Puerto Rico,PRI,2,1.99
740,Suriname,SUR,2,5.075
28,Antigua and Barb.,ATG,1,2.65
132,Cabo Verde,CPV,1,9.51
