country,year,total_fire_count,avg_frp
Angola,2014,1137315,13.667987773949667
Angola,2015,1274263,13.281821388243229
Angola,2016,1270590,13.193662020586666
Angola,2017,1251881,13.136004298716598
Angola,2018,1133065,13.245609659255454
Angola,2019,1368656,12.866658273022194
Angola,2020,1147928,13.0194277515663
Angola,2021,1195370,12.636726913006017
Angola,2022,1013674,12.491586427194541
Angola,2023,1342767,13.06623550474505
Angola,2024,1246579,12.80711065243358
Australia,2014,1096235,11.474262403017773
Australia,2015,1019002,11.34663028469016
Australia,2016,690667,9.744101167410296
Australia,2017,1131551,12.436176042034875
Australia,2018,1328335,11.894327456849723
Australia,2019,1414937,12.26515817396762
Australia,2020,737768,10.985357321000631
Australia,2021,728054,10.071858831899835
Australia,2022,722194,10.27849778591348
Australia,2023,1733929,12.060700288189423
Australia,2024,898641,10.644525878521012
Brazil,2014,1214379,11.687133674674575
Brazil,2015,1677382,11.531639691902221
Brazil,2016,1262816,11.396156845113572
Brazil,2017,1511553,11.85217653081153
Brazil,2018,889382,11.452619896902778
Brazil,2019,1427235,12.200193334926189
Brazil,2020,1627946,13.02564327072273
Brazil,2021,1297767,13.36585887143069
Brazil,2022,1379307,11.899556567174677
Brazil,2023,1311261,11.275922665281733
Brazil,2024,1927827,12.35136801175624
Canada,2014,517496,14.95732547913697
Canada,2015,320486,17.635754730208454
Canada,2016,112321,15.841638835352125
Canada,2017,445655,15.266253176759362
Canada,2018,298492,13.886103283284644
Canada,2019,181338,15.219990871345736
Canada,2020,40401,10.626216677805004
Canada,2021,431143,15.301025019541065
Canada,2022,160770,15.397961870995832
Canada,2023,1721329,15.46435563451263
Canada,2024,714674,14.26722985585036
C.A.R.,2014,627624,8.798810322356145
C.A.R.,2015,721176,8.501415026239867
C.A.R.,2016,786262,8.486724114589112
C.A.R.,2017,639568,8.698531238234189
C.A.R.,2018,737530,8.481809022853867
C.A.R.,2019,591941,8.296368682443557
C.A.R.,2020,736595,8.206057548585044
C.A.R.,2021,662740,8.200998219512933
C.A.R.,2022,688271,8.135277354414178
C.A.R.,2023,552309,7.9699555683503265
C.A.R.,2024,582889,7.556806441706741
Dem.Rep.Congo,2014,1626165,11.775972476934221
Dem.Rep.Congo,2015,1808801,11.60271658149606
Dem.Rep.Congo,2016,1961694,11.320810557873834
Dem.Rep.Congo,2017,1759473,11.474422411940205
Dem.Rep.Congo,2018,1780566,11.372174887072164
Dem.Rep.Congo,2019,1781801,11.14216279922183
Dem.Rep.Congo,2020,1859888,11.251844939050095
Dem.Rep.Congo,2021,1837152,11.045188520057128
Dem.Rep.Congo,2022,1534673,10.890335576373598
Dem.Rep.Congo,2023,1798986,10.797166637205626
Dem.Rep.Congo,2024,138840,11.585441803514836
India,2014,491435,6.49550287406667
India,2015,444834,6.53866320629172
India,2016,629916,5.973837020471405
India,2017,564717,5.977565480165546
India,2018,609120,5.899002365600626
India,2019,496441,6.309060856521438
India,2020,453123,6.630743330177457
India,2021,721193,6.277966730126334
India,2022,559606,6.392246616369375
India,2023,535409,5.676973397907018
India,2024,514557,5.977665214932456
Mozambique,2014,727565,9.123621078483032
Mozambique,2015,737510,9.106302660762738
Mozambique,2016,636665,9.074035372895883
Mozambique,2017,652214,8.957986195880455
Mozambique,2018,684993,8.819222844512124
Mozambique,2019,736997,8.611057441745722
Mozambique,2020,679913,8.636196542792975
Mozambique,2021,702283,8.649945876519864
Mozambique,2022,621561,8.82656165686071
Mozambique,2023,688487,8.51101878466841
Mozambique,2024,623092,8.45797269103118
Tanzania,2014,454477,8.768129041496733
Tanzania,2015,528024,8.5847027695134
Tanzania,2016,549169,8.683525602032285
Tanzania,2017,432744,8.961693006361758
Tanzania,2018,421105,8.58332592967943
Tanzania,2019,447461,8.464406337961313
Tanzania,2020,506012,8.768727263385058
Tanzania,2021,525783,8.579728367025943
Tanzania,2022,408138,8.98741290935909
Tanzania,2023,398213,8.674918372830621
Tanzania,2024,426098,8.438327732117964
Zambia,2014,822914,9.893669871560876
Zambia,2015,909805,9.828602413846546
Zambia,2016,892085,9.891020013430582
Zambia,2017,822397,9.891585711025236
Zambia,2018,830940,9.582752207393069
Zambia,2019,888086,9.288298986345563
Zambia,2020,785886,9.725706514685335
Zambia,2021,803651,9.598502185650238
Zambia,2022,755322,9.4449756130498
Zambia,2023,856931,9.40669146057267
Zambia,2024,722964,9.559492492018967
