latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-44.9198,170.64435,341.24,0.51,0.49,2026-05-13,02:09,N,nominal,2.0NRT,290.22,71.99,D
-43.56683,172.51202,327.46,0.4,0.44,2026-05-13,02:09,N,nominal,2.0NRT,285.8,2.02,D
-43.56714,172.50917,328.72,0.4,0.44,2026-05-13,02:09,N,nominal,2.0NRT,286.33,2.26,D
-43.6703,170.93729,328.48,0.48,0.48,2026-05-13,02:09,N,nominal,2.0NRT,285.64,2.44,D
-42.92371,172.58963,331.49,0.39,0.44,2026-05-13,02:09,N,nominal,2.0NRT,286.61,3.95,D
-42.87466,172.60823,332.52,0.39,0.44,2026-05-13,02:09,N,nominal,2.0NRT,287.01,2.69,D
-40.33546,175.29276,329.95,0.43,0.38,2026-05-13,02:09,N,nominal,2.0NRT,287.06,2.5,D
-40.15434,175.37209,331.4,0.43,0.38,2026-05-13,02:09,N,nominal,2.0NRT,284.71,3.5,D
-39.82076,175.62386,335.08,0.42,0.38,2026-05-13,02:09,N,nominal,2.0NRT,282.72,5.47,D
-39.81056,175.62411,330.79,0.42,0.38,2026-05-13,02:09,N,nominal,2.0NRT,277.66,3.7,D
-39.60111,176.93127,328.86,0.39,0.36,2026-05-13,02:09,N,nominal,2.0NRT,285.31,2.04,D
-39.45993,174.08791,337.15,0.47,0.4,2026-05-13,02:09,N,nominal,2.0NRT,285.06,4.5,D
-44.92445,170.645,339.66,0.51,0.49,2026-05-13,02:09,N,nominal,2.0NRT,293.42,71.99,D
-38.12957,175.67271,336.46,0.41,0.37,2026-05-13,02:11,N,nominal,2.0NRT,288.33,3.18,D
-36.28933,174.59512,325.88,0.42,0.38,2026-05-13,02:11,N,nominal,2.0NRT,288.75,1.78,D
-36.28677,174.59158,330.17,0.42,0.38,2026-05-13,02:11,N,nominal,2.0NRT,288.56,2.46,D
-35.26971,173.33772,329.02,0.46,0.39,2026-05-13,02:11,N,nominal,2.0NRT,289.43,17.4,D
-35.27032,173.33264,340.78,0.46,0.39,2026-05-13,02:11,N,nominal,2.0NRT,291.49,17.4,D
-35.26669,173.33202,332.09,0.46,0.39,2026-05-13,02:11,N,nominal,2.0NRT,293.14,17.4,D
-35.27024,173.33542,343.58,0.46,0.39,2026-05-13,02:11,N,nominal,2.0NRT,292.18,19.4,D
-35.26723,173.32973,330.32,0.46,0.39,2026-05-13,02:11,N,nominal,2.0NRT,292.08,34.98,D
-35.26298,173.33408,333.62,0.46,0.39,2026-05-13,02:11,N,nominal,2.0NRT,290.34,14.45,D
-35.25935,173.33339,332.78,0.46,0.39,2026-05-13,02:11,N,nominal,2.0NRT,286.08,4.25,D
-37.45501,175.16414,334.26,0.42,0.37,2026-05-13,02:11,N,nominal,2.0NRT,290.83,5.51,D
-19.53115,169.44847,344.16,0.46,0.39,2026-05-13,02:13,N,nominal,2.0NRT,299.73,11.33,D
-19.52752,169.44781,335.75,0.46,0.39,2026-05-13,02:13,N,nominal,2.0NRT,296.96,6.39,D
-20.96858,165.37923,325.83,0.55,0.51,2026-05-13,02:13,N,nominal,2.0NRT,289.49,2.91,D
-43.67004,170.93593,325.12,0.51,0.66,2026-05-13,03:47,N,nominal,2.0NRT,284.29,2.28,D
-41.09265,148.00606,341.51,0.52,0.42,2026-05-13,03:49,N,nominal,2.0NRT,283.57,72.53,D
-41.09198,148.01227,342.99,0.52,0.42,2026-05-13,03:49,N,nominal,2.0NRT,287.24,72.53,D
-41.61576,146.11002,356.28,0.43,0.46,2026-05-13,03:49,N,nominal,2.0NRT,288.99,10.49,D
-41.29026,146.28252,336.97,0.42,0.45,2026-05-13,03:49,N,nominal,2.0NRT,280.5,3.6,D
-41.61148,146.10931,356.33,0.43,0.46,2026-05-13,03:49,N,low,2.0NRT,287.34,10.49,D
-41.61192,146.10437,330.64,0.43,0.46,2026-05-13,03:49,N,nominal,2.0NRT,277.99,3.85,D
-41.61103,146.11423,343.74,0.43,0.46,2026-05-13,03:49,N,nominal,2.0NRT,282.11,10.49,D
-41.6162,146.10519,330.09,0.43,0.46,2026-05-13,03:49,N,nominal,2.0NRT,278.43,3.85,D
-43.06786,146.882,345.83,0.41,0.45,2026-05-13,03:49,N,nominal,2.0NRT,314.65,64.62,D
-43.06835,146.87648,304.34,0.41,0.45,2026-05-13,03:49,N,low,2.0NRT,321.58,64.62,D
-43.06369,146.88094,348.85,0.41,0.45,2026-05-13,03:49,N,nominal,2.0NRT,292.12,64.62,D
-41.09653,148.00681,333.52,0.52,0.42,2026-05-13,03:49,N,nominal,2.0NRT,280.58,6.67,D
-41.61533,146.11485,345.51,0.43,0.46,2026-05-13,03:49,N,nominal,2.0NRT,287.84,10.49,D
-41.61303,146.10692,350.22,0.43,0.46,2026-05-13,03:49,N,nominal,2.0NRT,286.2,10.15,D
-41.61219,146.11671,328.74,0.43,0.46,2026-05-13,03:49,N,nominal,2.0NRT,281.04,9.95,D
-41.61261,146.11179,367,0.43,0.46,2026-05-13,03:49,N,high,2.0NRT,296.77,10.15,D
-41.61731,146.10771,332.01,0.43,0.46,2026-05-13,03:49,N,nominal,2.0NRT,279.66,10.15,D
-41.61689,146.11253,352.34,0.43,0.46,2026-05-13,03:49,N,nominal,2.0NRT,286.55,10.15,D
-42.06226,147.7951,343.97,0.54,0.42,2026-05-13,03:49,N,nominal,2.0NRT,285.56,21.96,D
-42.06622,147.7959,349.08,0.54,0.42,2026-05-13,03:49,N,nominal,2.0NRT,292.35,21.96,D
-42.41003,147.4229,332.97,0.57,0.43,2026-05-13,03:49,N,nominal,2.0NRT,303.72,60.18,D
-42.50456,147.15553,352.91,0.39,0.44,2026-05-13,03:49,N,nominal,2.0NRT,298.44,36.65,D
-42.50415,147.15999,330.09,0.39,0.44,2026-05-13,03:49,N,nominal,2.0NRT,288.76,14.86,D
-42.5087,147.15598,352.37,0.39,0.44,2026-05-13,03:49,N,nominal,2.0NRT,294.46,16.61,D
-42.89843,146.13144,338.01,0.44,0.46,2026-05-13,03:49,N,nominal,2.0NRT,285.79,3.75,D
-42.7821,147.71599,339.77,0.56,0.43,2026-05-13,03:49,N,nominal,2.0NRT,290.48,7.88,D
-42.92383,146.19656,342.28,0.44,0.46,2026-05-13,03:49,N,nominal,2.0NRT,287.97,5.76,D
-42.83491,147.59497,329.3,0.57,0.43,2026-05-13,03:49,N,nominal,2.0NRT,291.55,5.39,D
-42.97456,147.25061,344.91,0.39,0.44,2026-05-13,03:49,N,nominal,2.0NRT,289.18,5.69,D
-42.97823,147.25604,344.21,0.39,0.44,2026-05-13,03:49,N,nominal,2.0NRT,289.23,5.69,D
-43.06466,146.86993,326.75,0.41,0.45,2026-05-13,03:49,N,nominal,2.0NRT,287.96,6.39,D
-43.06419,146.87534,347.9,0.41,0.45,2026-05-13,03:49,N,nominal,2.0NRT,295.77,64.62,D
-38.21103,145.92032,331.43,0.4,0.44,2026-05-13,03:49,N,nominal,2.0NRT,278.51,2.15,D
-38.21518,145.92093,327.59,0.4,0.44,2026-05-13,03:49,N,nominal,2.0NRT,278.42,1.83,D
-38.64759,143.59077,353.21,0.53,0.5,2026-05-13,03:49,N,nominal,2.0NRT,275.52,9.08,D
-38.64729,143.59227,344.6,0.53,0.5,2026-05-13,03:49,N,nominal,2.0NRT,276.58,9.87,D
-38.58096,145.87712,344.84,0.41,0.45,2026-05-13,03:49,N,nominal,2.0NRT,285.82,6.43,D
-41.08425,148.01065,349.29,0.52,0.42,2026-05-13,03:49,N,nominal,2.0NRT,284.75,32.15,D
-41.08879,148.0052,331.19,0.52,0.42,2026-05-13,03:49,N,nominal,2.0NRT,287.8,72.53,D
-33.34729,147.48709,328.7,0.45,0.39,2026-05-13,03:51,N,nominal,2.0NRT,296.96,2.42,D
-33.23915,149.16685,339.26,0.4,0.37,2026-05-13,03:51,N,nominal,2.0NRT,291.24,7.57,D
-33.23855,149.17125,332.74,0.4,0.37,2026-05-13,03:51,N,nominal,2.0NRT,292.87,5.31,D
-33.24197,149.17189,332.42,0.4,0.37,2026-05-13,03:51,N,nominal,2.0NRT,291.41,5.31,D
-33.71846,145.48311,340.35,0.56,0.43,2026-05-13,03:51,N,nominal,2.0NRT,300.37,4.97,D
-33.71895,145.48459,337.04,0.56,0.43,2026-05-13,03:51,N,nominal,2.0NRT,300.14,4.53,D
-33.44885,148.66074,328.16,0.42,0.37,2026-05-13,03:51,N,nominal,2.0NRT,297.43,1.78,D
-33.44449,148.72049,342.37,0.42,0.37,2026-05-13,03:51,N,nominal,2.0NRT,293.03,4.14,D
-33.44389,148.72499,342.92,0.42,0.37,2026-05-13,03:51,N,nominal,2.0NRT,300.26,12.18,D
-33.44796,148.72115,340.17,0.42,0.37,2026-05-13,03:51,N,nominal,2.0NRT,298.09,4.14,D
-33.44736,148.72566,329.51,0.42,0.37,2026-05-13,03:51,N,nominal,2.0NRT,296.18,12.18,D
-33.75994,147.49869,334.07,0.46,0.39,2026-05-13,03:51,N,nominal,2.0NRT,300.03,5.09,D
-33.71271,148.04544,346.1,0.44,0.38,2026-05-13,03:51,N,nominal,2.0NRT,300.45,17.35,D
-33.7255,148.57344,341.3,0.42,0.38,2026-05-13,03:51,N,nominal,2.0NRT,296.37,4.74,D
-33.84896,149.45508,349.61,0.4,0.37,2026-05-13,03:51,N,nominal,2.0NRT,296.08,30.56,D
-33.84835,149.45946,351.55,0.4,0.37,2026-05-13,03:51,N,nominal,2.0NRT,286.85,30.56,D
-33.85299,149.45137,343.37,0.4,0.37,2026-05-13,03:51,N,nominal,2.0NRT,293.19,16.45,D
-33.85238,149.45573,347.46,0.4,0.37,2026-05-13,03:51,N,nominal,2.0NRT,302.42,43.42,D
-33.85579,149.45638,356.51,0.4,0.37,2026-05-13,03:51,N,low,2.0NRT,283.73,43.42,D
-33.85701,149.44765,343.24,0.4,0.37,2026-05-13,03:51,N,nominal,2.0NRT,286.38,16.45,D
-34.0812,148.0656,329.2,0.44,0.38,2026-05-13,03:51,N,nominal,2.0NRT,295.24,4.66,D
-34.19952,148.03516,346.4,0.44,0.39,2026-05-13,03:51,N,nominal,2.0NRT,298.53,9.03,D
-34.20309,148.03584,352.28,0.44,0.39,2026-05-13,03:51,N,nominal,2.0NRT,302.29,9.03,D
-36.13489,145.6189,341.41,0.39,0.44,2026-05-13,03:51,N,nominal,2.0NRT,296.46,6.82,D
-34.20667,148.03653,339.02,0.44,0.39,2026-05-13,03:51,N,nominal,2.0NRT,299.25,4.33,D
-30.46762,147.92738,339.87,0.42,0.37,2026-05-13,03:51,N,nominal,2.0NRT,286.13,3.98,D
-30.59433,148.12303,337.86,0.41,0.37,2026-05-13,03:51,N,nominal,2.0NRT,304.02,8.35,D
-31.06724,145.75755,343.66,0.51,0.41,2026-05-13,03:51,N,nominal,2.0NRT,291.31,8.08,D
-31.16436,146.90053,348.31,0.46,0.39,2026-05-13,03:51,N,nominal,2.0NRT,290.78,19.58,D
-31.34227,146.24146,331.08,0.49,0.4,2026-05-13,03:51,N,nominal,2.0NRT,298.57,4.47,D
-31.4369,146.99887,336.56,0.46,0.39,2026-05-13,03:51,N,nominal,2.0NRT,299.01,4.35,D
-31.43629,147.00372,336.92,0.46,0.39,2026-05-13,03:51,N,nominal,2.0NRT,300.39,4.35,D
-31.87594,146.15671,331.52,0.5,0.41,2026-05-13,03:51,N,nominal,2.0NRT,296.43,4.55,D
-31.87531,146.16208,327.09,0.5,0.41,2026-05-13,03:51,N,low,2.0NRT,297.11,3.67,D
-31.91841,146.69609,338.69,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,299.31,4.75,D
-31.91779,146.70116,342.13,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,299.62,4.75,D
-31.92211,146.6967,349.1,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,300.32,8.96,D
-32.2405,145.98799,339.57,0.51,0.41,2026-05-13,03:51,N,nominal,2.0NRT,293.41,5.61,D
-32.39284,146.8242,346.83,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,299.17,10.05,D
-32.39162,146.83437,354,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,297.92,10.63,D
-32.391,146.83946,353.41,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,299.05,10.63,D
-32.39653,146.82484,339.71,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,296.15,3.78,D
-32.3947,146.8401,344.46,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,295.61,4.59,D
-32.39901,146.83565,330.82,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,293.41,4.59,D
-32.39839,146.84074,334.2,0.47,0.4,2026-05-13,03:51,N,nominal,2.0NRT,293.81,4.59,D
