latitude,longitude,frp,acq_date,confidence,fire_count
-44,144,19.29,2024,aggregated,80
-44,146,19.72,2024,aggregated,1868
-44,148,3.27,2024,aggregated,13
-42,142,4.28,2024,aggregated,3
-42,144,13.16,2024,aggregated,1367
-42,146,11.03,2024,aggregated,2176
-42,148,12.82,2024,aggregated,300
-40,140,19.84,2024,aggregated,116
-40,142,12.7,2024,aggregated,723
-40,144,6.94,2024,aggregated,311
-40,146,5.88,2024,aggregated,792
-40,148,2.55,2024,aggregated,2
-38,138,5.87,2024,aggregated,30
-38,140,16.82,2024,aggregated,3679
-38,142,22.39,2024,aggregated,11315
-38,144,12.99,2024,aggregated,3312
-38,146,6.2,2024,aggregated,4899
-38,148,7.8,2024,aggregated,1138
-38,150,6.38,2024,aggregated,53
-36,114,18.25,2024,aggregated,880
-36,116,20.14,2024,aggregated,4451
-36,118,23.23,2024,aggregated,1109
-36,134,27.77,2024,aggregated,324
-36,136,16.03,2024,aggregated,500
-36,138,10.28,2024,aggregated,825
-36,140,12.47,2024,aggregated,637
-36,142,11.61,2024,aggregated,1811
-36,144,21.44,2024,aggregated,3235
-36,146,17.78,2024,aggregated,7692
-36,148,12.21,2024,aggregated,2307
-36,150,2.95,2024,aggregated,2330
-34,114,8.16,2024,aggregated,1934
-34,116,10.09,2024,aggregated,8450
-34,118,13.02,2024,aggregated,1042
-34,120,10.6,2024,aggregated,861
-34,122,30.94,2024,aggregated,1436
-34,124,6.14,2024,aggregated,4
-34,132,5.28,2024,aggregated,3
-34,134,8.36,2024,aggregated,276
-34,136,4.63,2024,aggregated,749
-34,138,10.37,2024,aggregated,337
-34,140,16.92,2024,aggregated,194
-34,142,12.53,2024,aggregated,459
-34,144,6.33,2024,aggregated,689
-34,146,8.99,2024,aggregated,2604
-34,148,12.83,2024,aggregated,2781
-34,150,6.51,2024,aggregated,1278
-34,152,5.85,2024,aggregated,116
-32,114,44.42,2024,aggregated,3777
-32,116,10.45,2024,aggregated,3114
-32,118,8.82,2024,aggregated,530
-32,120,14.74,2024,aggregated,1920
-32,122,3.4,2024,aggregated,16
-32,124,10.17,2024,aggregated,13
-32,126,2.05,2024,aggregated,7
-32,130,14.12,2024,aggregated,26
-32,132,12.07,2024,aggregated,201
-32,134,3.57,2024,aggregated,3
-32,136,3.58,2024,aggregated,489
-32,138,6.01,2024,aggregated,4
-32,140,63.99,2024,aggregated,7
-32,144,5.29,2024,aggregated,400
-32,146,7.36,2024,aggregated,2304
-32,148,8.21,2024,aggregated,2427
-32,150,5.5,2024,aggregated,2823
-32,152,4.74,2024,aggregated,1873
-30,114,16.24,2024,aggregated,1054
-30,116,5.08,2024,aggregated,103
-30,118,32.84,2024,aggregated,116
-30,120,8.78,2024,aggregated,45
-30,122,10.27,2024,aggregated,246
-30,124,4.36,2024,aggregated,13
-30,126,9.79,2024,aggregated,104
-30,128,18.08,2024,aggregated,182
-30,130,22.57,2024,aggregated,225
-30,134,5.37,2024,aggregated,5
-30,136,3.04,2024,aggregated,9
-30,138,5.18,2024,aggregated,2
-30,140,6.33,2024,aggregated,52
-30,142,2.54,2024,aggregated,1
-30,144,4.14,2024,aggregated,16
-30,146,8.69,2024,aggregated,1128
-30,148,5.85,2024,aggregated,3426
-30,150,8.17,2024,aggregated,4369
-30,152,5.12,2024,aggregated,4432
-28,114,4.35,2024,aggregated,17
-28,118,13.97,2024,aggregated,75
-28,120,8.18,2024,aggregated,311
-28,122,11.24,2024,aggregated,13
-28,124,16.57,2024,aggregated,244
-28,126,9.57,2024,aggregated,15
-28,128,10.76,2024,aggregated,155
-28,130,26.33,2024,aggregated,892
-28,132,10.69,2024,aggregated,50
-28,134,4.88,2024,aggregated,25
-28,136,4.58,2024,aggregated,102
-28,138,23.94,2024,aggregated,288
-28,140,15.81,2024,aggregated,741
-28,142,5.02,2024,aggregated,46
-28,144,5.98,2024,aggregated,515
-28,146,9.69,2024,aggregated,3079
-28,148,8.48,2024,aggregated,6510
-28,150,6.82,2024,aggregated,9118
-28,152,5.27,2024,aggregated,4375
-26,112,3.9,2024,aggregated,13
-26,114,6.02,2024,aggregated,35
-26,116,4.55,2024,aggregated,48
-26,118,13.07,2024,aggregated,64
-26,120,25.58,2024,aggregated,72
-26,122,18.11,2024,aggregated,258
-26,124,10.09,2024,aggregated,143
-26,126,35.33,2024,aggregated,81
-26,128,14.5,2024,aggregated,159
-26,130,11.06,2024,aggregated,477
-26,132,14.72,2024,aggregated,312
-26,134,7.01,2024,aggregated,83
-26,136,4.5,2024,aggregated,16
-26,138,14.72,2024,aggregated,282
-26,140,14.67,2024,aggregated,153
-26,142,9.33,2024,aggregated,240
-26,144,5.35,2024,aggregated,776
-26,146,8.45,2024,aggregated,19579
-26,148,7.78,2024,aggregated,11932
-26,150,7.14,2024,aggregated,17119
-26,152,5.69,2024,aggregated,2453
-24,114,14.59,2024,aggregated,354
-24,116,15.33,2024,aggregated,1393
-24,118,12.13,2024,aggregated,1584
-24,120,17.18,2024,aggregated,1895
-24,122,26.07,2024,aggregated,2301
-24,124,18.86,2024,aggregated,1244
-24,126,20.41,2024,aggregated,1381
-24,128,14.11,2024,aggregated,459
-24,130,9.95,2024,aggregated,662
-24,132,9.31,2024,aggregated,1138
-24,134,11.33,2024,aggregated,855
-24,136,6.59,2024,aggregated,30
-24,138,5.98,2024,aggregated,26
-24,140,13.12,2024,aggregated,309
-24,142,9.82,2024,aggregated,178
