country,year,total_fires
Angola,2020,1345867
Angola,2021,1372926
Angola,2022,1148667
Angola,2023,1509384
Angola,2024,1151080
Argentina,2020,9580
Argentina,2021,5614
Argentina,2022,8719
Argentina,2023,2324
Argentina,2024,2895
Australia,2020,658042
Australia,2021,710659
Australia,2022,711148
Australia,2023,1726739
Australia,2024,894844
Bangladesh,2020,16549
Bangladesh,2021,25542
Bangladesh,2022,15843
Bangladesh,2023,16048
Bangladesh,2024,14129
Benin,2020,19713
Benin,2021,15022
Benin,2022,16262
Benin,2023,13037
Benin,2024,18687
Bolivia,2020,514278
Bolivia,2021,380492
Bolivia,2022,377827
Bolivia,2023,427968
Bolivia,2024,1026067
Botswana,2020,1
Botswana,2021,1
Botswana,2023,9
Brazil,2020,1377411
Brazil,2021,1163394
Brazil,2022,1293034
Brazil,2023,1218097
Brazil,2024,1700980
Burkina Faso,2020,278
Burkina Faso,2021,192
Burkina Faso,2022,134
Burkina Faso,2023,213
Burkina Faso,2024,196
Burundi,2020,17493
Burundi,2021,18945
Burundi,2022,13127
Burundi,2023,14662
Burundi,2024,16269
Cameroon,2020,104427
Cameroon,2021,98033
Cameroon,2022,99078
Cameroon,2023,84223
Cameroon,2024,97110
Canada,2020,35227
Canada,2021,421559
Canada,2022,156593
Canada,2023,1714435
Canada,2024,709118
Central African Republic,2020,590731
Central African Republic,2021,550735
Central African Republic,2022,553572
Central African Republic,2023,466809
Central African Republic,2024,474963
Chad,2020,28110
Chad,2021,29262
Chad,2022,28115
Chad,2023,23333
Chad,2024,23434
Chile,2020,253
Chile,2021,298
Chile,2022,291
Chile,2023,343
Chile,2024,163
China,2020,10
China,2021,12
China,2022,19
China,2023,10
China,2024,6
Colombia,2020,127720
Colombia,2021,77241
Colombia,2022,99400
Colombia,2023,87467
Colombia,2024,704
Democratic Republic of the Congo,2020,1572955
Democratic Republic of the Congo,2021,1554850
Democratic Republic of the Congo,2022,1320461
Democratic Republic of the Congo,2023,1473439
Democratic Republic of the Congo,2024,201792
Ecuador,2020,11393
Ecuador,2021,6760
Ecuador,2022,18685
Ecuador,2023,6188
Eritrea,2021,6
Eritrea,2023,4
Ethiopia,2020,3398
Ethiopia,2021,2893
Ethiopia,2022,3173
Ethiopia,2023,3863
French Guiana,2020,2
French Guiana,2021,9
French Guiana,2022,12
French Guiana,2023,44
French Guiana,2024,6
Guyana,2020,11
Guyana,2021,9
Guyana,2022,9
Guyana,2023,15
Guyana,2024,8
India,2020,427869
India,2021,691785
India,2022,527434
India,2023,504451
India,2024,483169
Indonesia,2020,40088
Indonesia,2021,27208
Indonesia,2022,22351
Indonesia,2023,97412
Indonesia,2024,45208
Malawi,2020,91876
Malawi,2021,102783
Malawi,2022,89783
Malawi,2023,84609
Malawi,2024,87999
Malaysia,2020,125
Malaysia,2021,108
Malaysia,2022,31
Malaysia,2023,73
Malaysia,2024,70
Mozambique,2020,684711
Mozambique,2021,665820
Mozambique,2022,608267
Mozambique,2023,645180
Mozambique,2024,600937
Myanmar,2020,998
Myanmar,2021,1803
Myanmar,2022,1365
Myanmar,2023,1156
Myanmar,2024,845
Namibia,2020,182282
Namibia,2021,197868
Namibia,2022,183164
Namibia,2023,240453
Namibia,2024,196114
Nigeria,2020,317311
Nigeria,2021,341749
Nigeria,2022,350401
Nigeria,2023,294188
Nigeria,2024,347306
Pakistan,2020,4255
Pakistan,2021,4425
Pakistan,2022,8642
Pakistan,2023,3407
Pakistan,2024,9075
Panama,2020,1207
Panama,2021,551
Panama,2022,320
Panama,2023,1074
Paraguay,2020,28549
Paraguay,2021,48297
Paraguay,2022,14680
Paraguay,2023,14632
Paraguay,2024,49529
Peru,2020,25653
Peru,2021,23043
Peru,2022,26675
Peru,2023,24010
Peru,2024,23592
Republic of Congo,2020,35568
Republic of Congo,2021,28836
Republic of Congo,2022,31322
Republic of Congo,2023,28605
Republic of Congo,2024,2588
Rwanda,2020,4983
Rwanda,2021,3916
Rwanda,2022,3715
Rwanda,2023,3878
Rwanda,2024,4309
South Africa,2020,3059
South Africa,2021,4745
South Africa,2022,5360
South Africa,2023,5338
South Africa,2024,6492
South Sudan,2020,73508
South Sudan,2021,72313
South Sudan,2022,48277
South Sudan,2023,74002
Sudan,2020,93585
Sudan,2021,82646
Sudan,2022,76258
Sudan,2023,104860
Suriname,2020,373
Suriname,2021,303
Suriname,2022,310
Suriname,2023,862
Suriname,2024,341
Swaziland,2020,10162
Swaziland,2021,17734
Swaziland,2022,9273
Swaziland,2023,14401
Swaziland,2024,12794
Tanzania,2020,275065
Tanzania,2021,294444
Tanzania,2022,210676
Tanzania,2023,197171
Tanzania,2024,233515
USA,2020,10543
USA,2021,42292
USA,2022,11034
USA,2023,24495
USA,2024,14761
Uganda,2020,3705
Uganda,2021,3970
Uganda,2022,3991
Uganda,2023,5503
Uruguay,2020,5162
Uruguay,2021,3511
Uruguay,2022,3941
Uruguay,2023,2562
Uruguay,2024,814
Venezuela,2020,226
Venezuela,2021,24
Venezuela,2022,81
Venezuela,2023,290
Venezuela,2024,699
Zambia,2020,829600
Zambia,2021,830160
Zambia,2022,764296
Zambia,2023,874494
Zambia,2024,657471
Zimbabwe,2020,121532
Zimbabwe,2021,142961
Zimbabwe,2022,121086
Zimbabwe,2023,154292
Zimbabwe,2024,104750
