country,fire_count,avg_frp,id
Australia,33085,8.904466072238169,36
India,29668,5.741053660509639,356
Democratic Republic of the Congo,25802,7.754825982481977,180
Russia,23020,9.763784100781946,643
Mexico,18632,9.456290253327603,484
Madagascar,14014,6.346400028542889,450
China,12151,3.946211834416923,156
USA,9820,6.928027494908349,840
Guinea,7527,21.385415172047296,324
Venezuela,7331,7.228580002728141,862
Honduras,6400,6.702024999999999,NA
Brazil,5962,7.927254277088225,76
Iran,5414,5.609432951606945,NA
Nicaragua,4756,6.307548359966359,NA
Pakistan,4150,4.447766265060241,NA
Angola,3474,6.752976396085204,24
Liberia,2853,9.92429372590256,NA
South Africa,2706,6.102402069475242,NA
Zambia,2382,6.889785894206549,894
South Sudan,2378,9.37215306980656,NA
Nigeria,2335,8.507524625267667,NA
Guatemala,2272,9.103644366197182,NA
Ukraine,2261,10.25222467934542,NA
Iraq,2234,5.74202327663384,NA
Sierra Leone,2079,10.167772967772963,NA
Philippines,2054,6.457867575462512,NA
Sudan,2044,8.224818982387475,729
Mozambique,1989,5.688999497234793,508
Mongolia,1773,32.50166384658771,NA
Libya,1769,4.723572639909554,NA
Argentina,1763,5.9341293250141804,NA
Algeria,1735,2.7397463976945247,NA
Vietnam,1631,5.866738197424892,NA
Mali,1566,9.768512132822478,NA
Kazakhstan,1298,5.863351309707242,NA
Chad,1276,8.806559561128527,NA
Republic of Congo,1274,6.22958398744113,NA
Saudi Arabia,1189,4.953675357443229,NA
Myanmar,1165,9.354909871244631,104
Laos,1094,14.589478976234,NA
Ethiopia,986,7.858600405679512,NA
Indonesia,986,4.68525354969574,360
Colombia,943,6.263319194061506,NA
Thailand,916,5.0952838427947595,NA
Ivory Coast,901,5.675449500554939,NA
Canada,895,13.57584357541899,NA
Guinea-Bissau,870,15.17125287356322,NA
Chile,865,10.126254335260116,NA
Turkmenistan,861,1.4652729384436702,NA
Egypt,857,5.788658109684946,NA
Cambodia,801,5.901485642946318,NA
Cameroon,793,10.158310214375788,NA
Zimbabwe,783,8.219323116219668,716
Senegal,770,7.758571428571428,NA
United Arab Emirates,766,15.02,NA
Bolivia,705,5.188510638297872,68
Japan,692,2.654248554913295,NA
Paraguay,660,6.09419696969697,NA
Tanzania,656,6.3187652439024395,834
Oman,626,3.0030191693290735,NA
Belize,595,8.188521008403361,NA
Papua New Guinea,573,5.574101221640489,NA
Turkey,472,1.5381991525423728,NA
Germany,441,2.7165079365079365,NA
Central African Republic,427,6.213934426229509,NA
Niger,416,11.158629807692307,NA
Burkina Faso,390,7.819205128205128,NA
Ghana,388,6.3675,NA
Uzbekistan,313,4.443865814696486,NA
Peru,303,5.957524752475248,NA
Malawi,251,4.75402390438247,NA
France,237,2.749071729957806,NA
Costa Rica,231,5.686017316017316,NA
Dominican Republic,230,5.085869565217391,NA
Italy,230,2.5041304347826085,NA
Cuba,216,6.563240740740741,NA
South Korea,211,2.295071090047393,NA
Gambia,208,9.841490384615383,NA
Gabon,201,4.174278606965174,NA
Benin,175,6.386571428571429,NA
New Zealand,175,5.223885714285714,NA
Syria,160,1.7311875,NA
Namibia,153,5.8732026143790845,NA
El Salvador,143,5.473776223776223,NA
Malaysia,142,3.7171126760563378,NA
Panama,140,5.568642857142857,NA
Poland,135,1.8937777777777776,NA
Ecuador,133,6.404360902255639,NA
Kuwait,130,4.968692307692308,NA
Yemen,119,2.815294117647059,NA
Netherlands,100,3.1494,NA
Spain,86,2.561279069767442,NA
Qatar,85,2.0063529411764707,NA
Belarus,83,3.8692771084337343,NA
UK,81,4.061234567901235,NA
Trinidad,80,4.1175,NA
Belgium,77,3.345064935064935,NA
Austria,75,4.8449333333333335,NA
Mauritania,72,15.616944444444444,NA
Nepal,70,4.6375714285714285,NA
Bangladesh,64,4.1575,NA
Sweden,62,3.0598387096774196,NA
Morocco,57,1.8364912280701755,NA
Botswana,48,5.900416666666667,NA
Uganda,48,8.173125,NA
Haiti,46,4.577173913043478,NA
Azerbaijan,45,1.1884444444444444,NA
Romania,45,2.516,NA
Finland,42,2.4445238095238095,NA
North Korea,40,2.309,NA
Slovakia,39,3.072820512820513,NA
Uruguay,39,4.362051282051282,NA
Kenya,37,5.00054054054054,NA
Togo,37,4.670810810810811,NA
Portugal,36,4.643888888888889,NA
Serbia,35,2.898285714285714,NA
Greece,33,1.2245454545454546,NA
Israel,33,3.4496969696969693,NA
Norway,33,1.9145454545454543,NA
Bulgaria,32,2.175625,NA
Vanuatu,32,4.216875,NA
Guyana,28,4.8375,NA
Tajikistan,27,1.8725925925925928,NA
Jordan,26,1.935769230769231,NA
Czech Republic,25,2.6232,NA
Eritrea,25,17.9872,NA
Kyrgyzstan,25,1.964,NA
Barbados,24,8.1779166666666665,NA
Tunisia,23,1.2534782608695652,NA
Denmark,22,1.723181818181818,NA
Moldova,21,2.020952380952381,NA
Palestine,21,4.538571428571428,NA
