lat_bin,lon_bin,fire_count,avg_frp
-44,144,661,16.84
-44,146,6381,19.25
-44,148,130,7.68
-42,142,10,7.06
-42,144,5248,11.83
-42,146,9458,10.39
-42,148,1870,12.87
-40,140,1536,9.3
-40,142,3903,12.64
-40,144,1652,7.0
-40,146,2670,10.08
-40,148,171,17.07
-38,136,269,54.6
-38,138,414,10.02
-38,140,15468,14.97
-38,142,29077,18.13
-38,144,14380,12.37
-38,146,38188,12.27
-38,148,76554,10.81
-38,150,1593,4.65
-36,114,6625,13.38
-36,116,17281,13.24
-36,118,3179,14.97
-36,120,36,20.34
-36,122,4,9.56
-36,134,1434,17.63
-36,136,4649,23.73
-36,138,3690,10.96
-36,140,2698,11.96
-36,142,6934,8.62
-36,144,11664,16.54
-36,146,35678,17.3
-36,148,41380,14.54
-36,150,20788,4.79
-34,-54,1847,10.84
-34,114,9736,7.0
-34,116,51387,9.33
-34,118,9267,14.58
-34,120,10123,16.06
-34,122,22072,22.15
-34,124,3863,35.48
-34,126,1,0.82
-34,132,126,11.79
-34,134,1594,20.04
-34,136,9580,3.64
-34,138,1601,10.69
-34,140,803,14.2
-34,142,2838,10.96
-34,144,5823,8.24
-34,146,22569,12.01
-34,148,14471,12.8
-34,150,13123,6.43
-34,152,1047,7.85
-32,-58,428,8.04
-32,-56,2624,7.3
-32,-54,11091,8.12
-32,-52,2481,6.29
-32,114,10636,26.3
-32,116,23807,9.64
-32,118,4186,11.49
-32,120,12800,14.7
-32,122,6447,18.92
-32,124,826,19.21
-32,126,8,1.3
-32,128,1,0.05
-32,130,615,14.71
-32,132,974,20.07
-32,134,163,18.48
-32,136,2834,4.86
-32,138,690,22.51
-32,140,66,56.9
-32,142,285,7.57
-32,144,2441,5.89
-32,146,13637,9.37
-32,148,16682,11.01
-32,150,16207,6.17
-32,152,11569,6.96
-30,-58,1691,8.01
-30,-56,5241,7.11
-30,-54,6422,5.22
-30,-52,28847,6.44
-30,-50,7328,5.98
-30,114,7796,15.33
-30,116,1510,7.39
-30,118,1035,21.99
-30,120,887,10.89
-30,122,1490,15.47
-30,124,2494,10.82
-30,126,2526,14.99
-30,128,7668,15.64
-30,130,2024,21.34
-30,132,171,9.51
-30,134,34,4.79
-30,136,13,5.32
-30,138,5,2.31
-30,140,455,3.99
-30,142,351,14.42
-30,144,185,6.24
-30,146,7596,6.42
-30,148,15907,6.6
-30,150,27490,8.41
-30,152,19843,5.64
-28,-56,404,5.24
-28,-54,7872,7.04
-28,-52,21963,9.96
-28,-50,6671,6.61
-28,32,15716,6.94
-28,112,12,4.49
-28,114,2565,20.09
-28,116,18,3.98
-28,118,163,15.84
-28,120,957,14.96
-28,122,1126,14.5
-28,124,2296,14.98
-28,126,717,11.87
-28,128,4254,11.29
-28,130,8915,15.23
-28,132,1269,13.37
-28,134,60,8.76
-28,136,271,3.65
-28,138,298,12.05
-28,140,1421,12.53
-28,142,334,7.02
-28,144,1293,6.69
-28,146,12685,10.03
-28,148,26380,7.59
-28,150,54645,7.96
-28,152,19301,5.75
-26,-56,1155,10.94
-26,-54,10267,8.67
-26,-52,17769,9.44
-26,-50,13359,8.12
-26,-48,320,3.78
-26,30,1797,8.01
-26,32,64364,8.5
-26,34,21846,6.72
-26,112,39,4.22
-26,114,10498,10.1
-26,116,89,10.97
-26,118,172,10.86
-26,120,270,15.38
-26,122,1750,15.26
-26,124,1896,11.77
-26,126,2961,18.15
-26,128,9251,15.61
-26,130,13334,10.52
-26,132,14370,9.74
-26,134,3148,8.94
-26,136,76,3.61
-26,138,819,9.41
-26,140,174,7.44
-26,142,698,5.47
-26,144,3695,7.02
-26,146,57913,8.59
-26,148,78236,7.3
-26,150,86734,7.03
-26,152,21900,7.8
-24,-68,32,10.51
-24,-66,4113,8.15
-24,-64,143,6.58
-24,-58,4756,8.63
-24,-56,10689,11.39
-24,-54,19547,12.47
-24,-52,11583,11.92
-24,-50,21024,10.61
-24,-48,34735,7.18
-24,-46,14624,5.85
-24,-44,27994,4.9
-24,-42,1950,4.1
-24,30,7481,7.73
-24,32,74562,8.46
-24,34,76741,9.02
-24,112,885,7.49
-24,114,5155,15.73
-24,116,11082,14.52
-24,118,6780,12.99
-24,120,6837,16.18
-24,122,6642,17.92
-24,124,4464,15.92
-24,126,12239,12.84
-24,128,7117,13.65
-24,130,37680,11.4
-24,132,45862,11.43
-24,134,24723,10.78
-24,136,1205,15.73
-24,138,498,11.06
-24,140,1056,10.13
-24,142,628,7.53
-24,144,10813,10.31
-24,146,37993,8.05
-24,148,35285,6.79
-24,150,31393,6.06
-22,-70,266,14.51
